date,close,news_score
2023-01-05,125.02,0.0
2023-01-06,129.62,0.0
2023-01-09,130.15,-0.0303030303030303
2023-01-10,130.73,0.1764705882352941
2023-01-11,133.49,-0.2285714285714286
2023-01-12,133.41,0.1538461538461539
2023-01-13,134.76,-0.0416666666666666
2023-01-17,135.94,0.1538461538461539
2023-01-18,135.21,0.1081081081081081
2023-01-19,135.27,0.1818181818181818
2023-01-20,137.87,0.0
2023-01-23,141.11,0.2857142857142857
2023-01-24,142.53,0.0909090909090909
2023-01-25,141.86,-0.0666666666666666
2023-01-26,143.96,-0.125
2023-01-27,145.93,0.08
2023-01-30,143.0,-0.0377358490566037
2023-01-31,144.29,-0.0303030303030303
2023-02-01,145.43,0.1142857142857143
2023-02-02,150.82,-0.288135593220339
2023-02-03,154.5,-0.0821917808219178
2023-02-06,151.73,-0.2
2023-02-07,154.65,0.2222222222222222
2023-02-08,151.92,0.1666666666666667
2023-02-09,150.87,0.0
2023-02-10,151.01,0.2380952380952381
2023-02-13,153.85,0.5714285714285714
2023-02-14,153.2,0.0434782608695652
2023-02-15,155.33,0.1538461538461539
2023-02-16,153.71,0.2222222222222222
2023-02-17,152.55,-0.0625
2023-02-21,148.48,-0.2307692307692308
2023-02-22,148.91,0.1875
2023-02-23,149.4,0.2777777777777778
2023-02-24,146.71,-0.1052631578947368
2023-02-27,147.92,0.0952380952380952
2023-02-28,147.41,-0.2173913043478261
2023-03-01,145.31,0.1904761904761905
2023-03-02,145.91,-0.1304347826086956
2023-03-03,151.03,0.1764705882352941
2023-03-06,153.83,0.5116279069767442
2023-03-07,151.6,0.1875
2023-03-08,152.87,0.0
2023-03-09,150.59,0.1818181818181818
2023-03-10,148.5,-0.1
2023-03-13,150.47,0.2727272727272727
2023-03-14,152.59,0.0666666666666666
2023-03-15,152.99,0.0
2023-03-16,155.85,0.1481481481481481
2023-03-17,155.0,0.5625
2023-03-20,157.4,0.5
2023-03-21,159.28,0.3333333333333333
2023-03-22,157.83,-0.2666666666666667
2023-03-23,158.93,0.1891891891891892
2023-03-24,160.25,0.15
2023-03-27,158.28,0.3076923076923077
2023-03-28,157.65,0.0476190476190476
2023-03-29,160.77,0.04
2023-03-30,162.36,0.2
2023-03-31,164.9,0.2142857142857143
2023-04-03,166.17,0.0909090909090909
2023-04-04,165.63,0.2
2023-04-05,163.76,0.125
2023-04-06,164.66,0.12
2023-04-10,162.03,-0.28125
2023-04-11,160.8,0.0
2023-04-12,160.1,-0.1818181818181818
2023-04-13,165.56,0.1
2023-04-14,165.21,0.0666666666666666
2023-04-17,165.23,0.2790697674418605
2023-04-18,166.47,0.1351351351351351
2023-04-19,167.63,0.1428571428571428
2023-04-20,166.65,0.0526315789473684
2023-04-21,165.02,-0.0476190476190476
2023-04-24,165.33,0.2352941176470588
2023-04-25,163.77,0.1578947368421053
2023-04-26,163.76,0.1333333333333333
2023-04-27,168.41,0.2142857142857143
2023-04-28,169.68,0.1428571428571428
2023-05-01,169.59,0.0833333333333333
2023-05-02,168.54,0.0869565217391304
2023-05-03,167.45,-0.0666666666666666
2023-05-04,165.79,0.0925925925925925
2023-05-05,173.57,0.3088235294117647
2023-05-08,173.5,0.1052631578947368
2023-05-09,171.77,0.2631578947368421
2023-05-10,173.555,-0.0526315789473684
2023-05-11,173.75,-0.05
2023-05-12,172.57,0.125
2023-05-15,172.07,-0.1428571428571428
2023-05-16,172.07,-0.0714285714285714
2023-05-17,172.69,-0.0416666666666666
2023-05-18,175.05,0.2173913043478261
2023-05-19,175.16,0.04
2023-05-22,174.2,-0.1538461538461539
2023-05-23,171.56,0.375
2023-05-24,171.84,0.5
2023-05-25,172.99,0.1428571428571428
2023-05-26,175.43,0.25
2023-05-30,177.3,0.3
2023-05-31,177.25,0.1739130434782609
2023-06-01,180.09,0.2941176470588235
2023-06-02,180.95,0.0434782608695652
2023-06-05,179.58,0.2022471910112359
2023-06-06,179.21,0.0126582278481012
2023-06-07,177.82,0.2857142857142857
2023-06-08,180.57,0.28125
2023-06-09,180.96,0.0
2023-06-12,183.79,0.2
2023-06-13,183.31,0.275
2023-06-14,183.95,0.3225806451612903
2023-06-15,186.01,0.4
2023-06-16,184.92,0.2
2023-06-20,185.01,0.5263157894736842
2023-06-21,183.96,0.1
2023-06-22,187.0,0.4545454545454545
2023-06-23,186.68,0.25
2023-06-26,185.27,0.15
2023-06-27,188.06,0.0
2023-06-28,189.25,0.16
2023-06-29,189.59,0.0
2023-06-30,193.97,0.2295081967213115
2023-07-03,192.46,0.1379310344827586
2023-07-05,191.33,0.0454545454545454
2023-07-06,191.81,0.25
2023-07-07,190.68,0.0526315789473684
2023-07-10,188.61,0.3684210526315789
2023-07-11,188.08,0.1785714285714286
2023-07-12,189.77,0.1
2023-07-13,190.54,0.25
2023-07-14,190.69,0.3333333333333333
2023-07-17,193.99,0.2608695652173913
2023-07-18,193.73,0.3529411764705883
2023-07-19,195.1,0.2727272727272727
2023-07-20,193.13,0.1666666666666667
2023-07-21,191.94,0.2352941176470588
2023-07-24,192.75,0.1818181818181818
2023-07-25,193.62,-0.0476190476190476
2023-07-26,194.5,0.1428571428571428
2023-07-27,193.22,0.2941176470588235
2023-07-28,195.83,0.3571428571428572
2023-07-31,196.45,0.2777777777777778
2023-08-01,195.605,0.1764705882352941
2023-08-02,192.58,0.1666666666666667
2023-08-03,191.17,-0.0681818181818181
2023-08-04,181.99,0.0
2023-08-07,178.85,0.25
2023-08-08,179.8,0.0714285714285714
2023-08-09,178.19,-0.0303030303030303
2023-08-10,177.97,0.1428571428571428
2023-08-11,177.79,0.0952380952380952
2023-08-14,179.46,0.2916666666666667
2023-08-15,177.45,0.15
2023-08-16,176.57,0.2857142857142857
2023-08-17,174.0,-0.1052631578947368
2023-08-18,174.49,0.2142857142857143
2023-08-21,175.84,-0.1904761904761905
2023-08-22,177.23,0.0
2023-08-23,181.12,0.0
2023-08-24,176.38,0.12
2023-08-25,178.61,0.1666666666666667
2023-08-28,180.19,-0.1904761904761905
2023-08-29,184.12,0.0555555555555555
2023-08-30,187.65,-0.1153846153846154
2023-08-31,187.87,0.2173913043478261
2023-09-01,189.46,0.2727272727272727
2023-09-05,189.7,0.391304347826087
2023-09-06,182.91,-0.3725490196078431
2023-09-07,177.56,-0.2238805970149254
2023-09-08,178.18,-0.0978260869565217
2023-09-11,179.36,0.2054794520547945
2023-09-12,176.3,-0.0588235294117647
2023-09-13,174.21,-0.0149253731343283
2023-09-14,175.74,0.0
2023-09-15,175.01,0.1621621621621622
2023-09-18,177.97,0.175
2023-09-19,179.07,0.2142857142857143
2023-09-20,175.49,0.1111111111111111
2023-09-21,173.93,-0.1666666666666667
2023-09-22,174.79,0.0465116279069767
2023-09-25,176.08,0.0
2023-09-26,171.96,-0.1052631578947368
2023-09-27,170.43,0.0
2023-09-28,170.69,0.048780487804878
