date,close,news_score,sma,rsi,signal,market_return,position,turnover,transaction_cost,strategy_return_gross,strategy_return,window,sma_window,rsi_threshold,strategy_equity,benchmark_equity
2022-02-23,160.07,0.1481481481481481,169.904,35.42388839381911,0,-0.025864167478091504,0,0.0,0.0,-0.0,-0.0,9,20,40,1.18069935568141,1.6765206462255482
2022-02-24,162.74,0.074074074074074,170.0565,40.38950503593123,0,0.01668020241144519,0,0.0,0.0,0.0,0.0,9,20,40,1.18069935568141,1.7044853499515573
2022-02-25,164.85,0.3125,170.338,44.05092927265411,0,0.012965466388103586,0,0.0,0.0,0.0,0.0,9,20,40,1.18069935568141,1.7265847974653692
2022-02-28,165.12,-0.1724137931034483,170.0775,44.52052663216143,-1,0.0016378525932667642,0,0.0,0.0,0.0,0.0,9,20,40,1.18069935568141,1.7294126888533927
2022-03-01,163.2,0.0666666666666666,169.4985,41.83171378851577,0,-0.011627906976744318,-1,1.0,0.0005,0.011627906976744318,0.011127906976744317,9,20,40,1.1938380682789347,1.7093032389830043
2022-03-02,166.56,-0.0217391304347826,169.096,47.775919310428776,0,0.020588235294117796,0,1.0,0.0005,0.0,-0.0005,9,20,40,1.1932411492447952,1.744494776256184
2022-03-03,166.23,0.125,168.6155,47.26505325637895,0,-0.001981268011527426,0,0.0,0.0,-0.0,-0.0,9,20,40,1.1932411492447952,1.741038464559711
2022-03-04,163.17,-0.0833333333333333,168.129,42.7050097282976,0,-0.01840822956145105,0,0.0,0.0,-0.0,-0.0,9,20,40,1.1932411492447952,1.7089890288287797
2022-03-07,159.3,-0.2380952380952381,167.47449999999998,37.74520228733105,0,-0.023717595146166448,0,0.0,0.0,-0.0,-0.0,9,20,40,1.1932411492447952,1.6684559189337784
2022-03-08,157.44,0.2686567164179104,166.7635,35.6048660265611,0,-0.01167608286252364,0,0.0,0.0,-0.0,-0.0,9,20,40,1.1932411492447952,1.6489748893718397
2022-03-09,162.95,0.3076923076923077,166.1695,45.469540284895686,-1,0.03499745934959342,0,0.0,0.0,0.0,0.0,9,20,40,1.1932411492447952,1.706684821031131
2022-03-10,158.52,0.1025641025641026,165.2815,40.14482838910956,-1,-0.027186253451979003,-1,1.0,0.0005,0.027186253451979003,0.026686253451979003,9,20,40,1.2250842849828725,1.6602864549239331
2022-03-11,154.73,-0.103448275862069,164.41199999999998,36.23527393114025,0,-0.023908655059298622,-1,0.0,0.0,0.023908655059298622,0.023908655059298622,9,20,40,1.2543744025710954,1.620591238773531
2022-03-14,150.62,-0.2195121951219512,163.51100000000002,32.53498552939966,0,-0.026562399017643568,0,1.0,0.0005,-0.0,-0.0005,9,20,40,1.25374721536981,1.5775444476447313
2022-03-15,155.09,0.2333333333333333,162.8215,39.74220349762652,0,0.0296773336874252,0,0.0,0.0,0.0,0.0,9,20,40,1.25374721536981,1.6243617606242289
2022-03-16,159.59,-0.0833333333333333,162.1615,45.996785933973825,-1,0.02901541040686051,0,0.0,0.0,0.0,0.0,9,20,40,1.25374721536981,1.6714932837579515
2022-03-17,160.62,0.1714285714285714,161.565,47.34401731712721,0,0.006454038473588497,-1,1.0,0.0005,-0.006454038473588497,-0.0069540384735884975,9,20,40,1.2450286089979739,1.6822811657196701
2022-03-18,163.98,0.3333333333333333,161.32,51.587000493529885,0,0.020918939110945,0,1.0,0.0005,0.0,-0.0005,9,20,40,1.244406094693475,1.7174727029928494
2022-03-21,165.38,-0.25,161.224,53.276403617684835,0,0.00853762653982204,0,0.0,0.0,0.0,0.0,9,20,40,1.244406094693475,1.732135843523341
2022-03-22,168.82,0.04,161.449,57.226112737676,1,0.020800580481315833,0,0.0,0.0,0.0,0.0,9,20,40,1.244406094693475,1.76816527454112
