date,market_return,baseline_position,baseline_return,baseline_equity,benchmark_equity,threshold_0.00_hold_1d_position,threshold_0.00_hold_1d_return,threshold_0.00_hold_1d_equity,threshold_0.00_hold_3d_position,threshold_0.00_hold_3d_return,threshold_0.00_hold_3d_equity,threshold_0.05_hold_1d_position,threshold_0.05_hold_1d_return,threshold_0.05_hold_1d_equity,threshold_0.05_hold_3d_position,threshold_0.05_hold_3d_return,threshold_0.05_hold_3d_equity
2023-09-19,0.0061808169916277,0.5,0.00309040849581385,1.513736610910411,1.0084473728670478,0.5,0.00309040849581385,1.5324984346117652,0.5,0.00309040849581385,1.5747282533525482,0.5,0.00309040849581385,1.5324984346117652,0.5,0.00309040849581385,1.5371258300107573
2023-09-20,-0.0199921818283351,0.5,-0.00999609091416755,1.4986051621276466,0.9882863096243829,0.5,-0.00999609091416755,1.5171794409335666,0.5,-0.00999609091416755,1.558987126566928,0.5,-0.00999609091416755,1.5171794409335666,0.5,-0.00999609091416755,1.5217605804674545
2023-09-21,-0.0088893954071457,-1.0,0.0081393954071457,1.5108029021013931,0.979501041842663,-1.0,0.0081393954071457,1.529528364306917,-1.0,0.0081393954071457,1.571676339224706,-1.0,0.0081393954071457,1.529528364306917,-1.0,0.0081393954071457,1.5341467915468865
2023-09-22,0.0049445179095037,0.5,0.0017222589547518498,1.5134048959284023,0.9843442022864316,0.5,0.0017222589547518498,1.5321626082288917,0.5,0.0017222589547518498,1.5743831728739073,0.5,0.0017222589547518498,1.5321626082288917,0.5,0.0017222589547518498,1.5367889895965319
2023-09-25,0.0073802849133246,0.5,0.0036901424566623,1.5189895755889882,0.9916089429520848,0.5,0.0036901424566623,1.5378165065200275,0.5,0.0036901424566623,1.5801928710631838,0.5,0.0036901424566623,1.5378165065200275,0.5,0.0036901424566623,1.542459959893973
2023-09-26,-0.0233984552476147,0.5,-0.01169922762380735,1.501218570785982,0.9684068254772858,0.5,-0.01169922762380735,1.5198252411666016,0.5,-0.01169922762380735,1.561705834975098,0.5,-0.01169922762380735,1.5198252411666016,0.5,-0.01169922762380735,1.5244143697225647
2023-09-27,-0.0088974180041869,0.5,-0.00444870900209345,1.4945400862160165,0.9597905051529068,0.5,-0.00444870900209345,1.5130639809346147,0.5,-0.00444870900209345,1.5547582601684224,0.5,-0.00444870900209345,1.5130639809346147,0.5,-0.00444870900209345,1.5176326937930593
2023-09-28,0.0015255530129671,0.5,0.00076277650648355,1.4956800862817798,0.96125471644986,0.5,0.00076277650648355,1.514218110592078,0.5,0.00076277650648355,1.55594419324254,0.5,0.00076277650648355,1.514218110592078,0.5,0.00076277650648355,1.518790308357356
2023-09-29,0.0030464584920031,0.5,0.00152322924600155,1.4979583499318663,0.9641831390437667,0.5,0.00152322924600155,1.516524611902957,0.5,0.00152322924600155,1.558314252942833,0.5,0.00152322924600155,1.516524611902957,0.5,0.00152322924600155,1.5211037741735896
2023-10-02,0.0148355820337595,0.5,0.00741779101687975,1.509069891923651,0.9784873570986183,0.5,0.00741779101687975,1.5277738745460079,0.5,0.00741779101687975,1.569873502409788,0.5,0.00741779101687975,1.5277738745460079,0.5,0.00741779101687975,1.5323870040853964
2023-10-03,-0.0077697841726618,0.5,-0.0038848920863309,1.5032073182427965,0.9708847215182838,0.5,-0.0038848920863309,1.5218386379110809,0.5,-0.0038848920863309,1.5637747132637356,0.5,-0.0038848920863309,1.5218386379110809,0.5,-0.0038848920863309,1.5264338459400286
2023-10-04,0.0073085846867748,-1.0,-0.0080585846867748,1.4910935947669572,0.977980514726596,-1.0,-0.0080585846867748,1.5095747723678685,-1.0,-0.0080585846867748,1.551172902305863,-1.0,-0.0080585846867748,1.5095747723678685,-1.0,-0.0080585846867748,1.5141329495237617
2023-10-05,0.0071979730507889,0.5,0.0028489865253944497,1.4953417003265503,0.9850199921157947,0.5,0.0028489865253944497,1.51387553055342,0.5,0.0028489865253944497,1.5555921730030893,0.5,0.0028489865253944497,1.51387553055342,0.5,0.0028489865253944497,1.5184466938946106
2023-10-06,0.0147504430850151,0.5,0.00737522154250755,1.5063701766482087,0.9995494734471009,0.5,0.00737522154250755,1.5250406979790325,0.5,0.00737522154250755,1.5670650099087777,0.5,0.00737522154250755,1.5250406979790325,0.5,0.00737522154250755,1.5296455746625717
2023-10-09,0.0084511803481885,0.5,0.00422559017409425,1.512735479665202,1.0079968463141393,0.5,0.00422559017409425,1.5314848949675064,0.5,0.00422559017409425,1.573686784416815,0.5,0.00422559017409425,1.5314848949675064,0.5,0.00422559017409425,1.5361092299727126
2023-10-10,-0.0033521425777978,0.5,-0.0016760712888989,1.5102000271600364,1.0046178971673239,0.5,-0.0016760712888989,1.528918017105669,0.5,-0.0016760712888989,1.5710491731797342,0.5,-0.0016760712888989,1.528918017105669,0.5,-0.0016760712888989,1.5335346013957427
2023-10-11,0.0079040304949831,0.5,0.00395201524749155,1.516168360694135,1.0125584276623403,0.5,0.00395201524749155,1.5349603244214352,0.5,0.00395201524749155,1.5772579834666993,0.5,0.00395201524749155,1.5349603244214352,0.5,0.00395201524749155,1.5395951535230143
2023-10-12,0.0050611790878754,0.5,0.0025305895439377,1.5200051604945568,1.0176831672016768,0.5,0.0025305895439377,1.5388446789687755,0.5,0.0025305895439377,1.5812493760277526,0.5,0.0025305895439377,1.5388446789687755,0.5,0.0025305895439377,1.543491236920417
2023-10-13,-0.0102927342150407,0.5,-0.00514636710752035,1.5121826559333265,1.0072084248465492,0.5,-0.00514636710752035,1.5309252193293479,0.5,-0.00514636710752035,1.5731116862501764,0.5,-0.00514636710752035,1.5309252193293479,0.5,-0.00514636710752035,1.5355478643879839
2023-10-16,-0.0007268660889012,0.5,-0.0003634330444506,1.5116330787869152,1.0064763191980726,0.5,-0.0003634330444506,1.5303688305160608,0.5,-0.0003634330444506,1.5725399654807817,0.5,-0.0003634330444506,1.5303688305160608,0.5,-0.0003634330444506,1.5349897955527296
2023-10-17,-0.0087846911369739,0.5,-0.00439234556848695,1.5049934639321272,0.9976347355972391,0.5,-0.00439234556848695,1.523646921765193,0.5,-0.00439234556848695,1.5656328265321335,0.5,-0.00439234556848695,1.523646921765193,0.5,-0.00439234556848695,1.5282475899265608
2023-10-18,-0.0073948631103584,-1.0,0.0066448631103584,1.5149939394819403,0.9902573632933589,-1.0,0.0066448631103584,1.5337713469888414,-1.0,0.0066448631103584,1.576036242345523,-1.0,0.0066448631103584,1.5337713469888414,-1.0,0.0066448631103584,1.538402585960358
2023-10-19,-0.0021610555050045,0.5,-0.00183052775250225,1.512220701030846,0.9881173621670426,0.5,-0.00183052775250225,1.5309637359721855,0.5,-0.00183052775250225,1.57315126426496,0.5,-0.00183052775250225,1.5309637359721855,0.5,-0.00183052775250225,1.5355864973322364
2023-10-20,-0.0147042060868575,0.5,-0.00735210304342875,1.5011026986124612,0.9735878808357363,0.5,-0.00735210304342875,1.5197079328295655,0.5,-0.00735210304342875,1.561585294067184,0.5,-0.00735210304342875,1.5197079328295655,0.5,-0.00735210304342875,1.5242967071717521
2023-10-23,0.0006941230911614,-1.0,-0.0014441230911613999,1.4989349215431902,0.9742636706650993,-1.0,-0.0014441230911613999,1.5175132875119453,-1.0,-0.0014441230911613999,1.5593301726852036,-1.0,-0.0014441230911613999,1.5175132875119453,-1.0,-0.0014441230911613999,1.5220954350991442
2023-10-24,0.002543352601156,0.5,0.000521676300578,1.499716880367868,0.9767415667060972,0.5,0.000521676300578,1.5183049382298524,0.5,0.000521676300578,1.5601436382810696,0.5,0.000521676300578,1.5183049382298524,0.5,0.000521676300578,1.5228894762148535
2023-10-25,-0.0134916974169742,0.5,-0.0067458487084871,1.4896000171873423,0.9635636650335172,0.5,-0.0067458487084871,1.508062682823205,0.5,-0.0067458487084871,1.549619145333717,0.5,-0.0067458487084871,1.508062682823205,0.5,-0.0067458487084871,1.512616294208561
2023-10-26,-0.0246054938632379,0.5,-0.01230274693161895,1.4712738451465512,0.939854705186696,0.5,-0.01230274693161895,1.489509369279413,0.5,-0.01230274693161895,1.5305545731482846,0.5,-0.01230274693161895,1.489509369279413,0.5,-0.01230274693161895,1.4940069587362699
2023-10-27,0.0079693211097131,0.5,0.00398466055485655,1.4771363720026989,0.9473447091288035,0.5,0.00398466055485655,1.49544455850927,0.5,0.00398466055485655,1.5366533135829639,0.5,0.00398466055485655,1.49544455850927,0.5,0.00398466055485655,1.4999600693334276
