date,market_return,overlay_position,overlay_turnover,overlay_return,overlay_equity,passive_50_return,passive_50_equity,tiered_short_return,tiered_short_equity,original_strategy_return,original_strategy_equity,benchmark_equity
2021-01-13,0.0162267080745339,0.5,1.5,0.00736335403726695,1.3019042769773475,0.00811335403726695,1.1827484224057887,-0.0005,1.0401865732962339,-0.0005,1.1664574309352893,1.3708989028828793
2021-01-14,-0.0151272060508823,0.5,0.0,-0.00756360302544115,1.2920571898491668,-0.00756360302544115,1.1738025828597445,-0.0,1.0401865732962339,-0.0,1.1664574309352893,1.3501610327040416
2021-01-15,-0.0137305096579007,0.5,0.0,-0.00686525482895035,1.2831868879872748,-0.00686525482895035,1.1657441290095323,-0.0,1.0401865732962339,-0.0,1.1664574309352893,1.3316226336047776
2021-01-19,0.005427088249174,0.5,0.0,0.002713544124587,1.2866688722279196,0.002713544124587,1.1689074271415778,0.0,1.0401865732962339,0.0,1.1664574309352893,1.3388494671519482
2021-01-20,0.0328561370570288,0.5,0.0,0.0164280685285144,1.307806356634386,0.0164280685285144,1.188110318458149,0.0,1.0401865732962339,0.0,1.1664574309352893,1.3828388887434226
2021-01-21,0.0366583352268423,1.0,0.5,0.0364083352268423,1.355421408878526,0.01832916761342115,1.2098873916284036,0.0,1.0401865732962339,0.0361583352268423,1.2086345897508886,1.4335314602916933
2021-01-22,0.0160736465259003,0.5,0.5,0.0077868232629501495,1.365975835836282,0.00803682326295015,1.219611042762993,0.0,1.0401865732962339,-0.0005,1.2080302724560132,1.4565735382681797
2021-01-25,0.0276839001941466,0.5,0.0,0.0138419500970733,1.3848836051897355,0.0138419500970733,1.2364928379547577,0.0,1.0401865732962339,0.0,1.2080302724560132,1.496897174727031
2021-01-26,0.001679261125105,0.5,0.0,0.0008396305625525,1.3860463957902307,0.0008396305625525,1.2375310351318818,0.0,1.0401865732962339,0.0,1.2080302724560132,1.4994108559608297
2021-01-27,-0.0076837105336685,1.0,0.5,-0.0079337105336685,1.3750499048997964,-0.00384185526683425,1.2327766200066896,-0.0,1.0401865732962339,-0.0081837105336685,1.1981441023903245,1.4878898169725867
2021-01-28,-0.0349852175137266,1.0,0.0,-0.0349852175137266,1.326943484884648,-0.0174926087568633,1.2112121409083043,-0.0,1.0401865732962339,-0.0349852175137266,1.1562267703554103,1.4358356680893418
2021-01-29,-0.037420672550879,0.5,0.5,-0.0189603362754395,1.3017841901927316,-0.0187103362754395,1.188549954451015,-0.0,1.0401865732962339,-0.0005,1.1556486569702327,1.3821057317168979
2021-02-01,0.0165201576235221,0.5,0.0,0.00826007881176105,1.3125370301996282,0.00826007881176105,1.1983674707464953,0.0,1.0401865732962339,0.0,1.1556486569702327,1.4049383362572343
2021-02-02,0.0063366631877144,-1.0,1.5,-0.0070866631877144,1.3032355223452003,0.0031683315938572,1.202164296265112,-0.006836663187714399,1.0330751680422248,-0.0068366631877144,1.1477478763391928,1.4138409572936042
2021-02-03,-0.0077783539521446,-1.0,0.0,0.0077783539521446,1.3133725495210093,-0.0038891769760723,1.1974888665626215,0.0077783539521446,1.0411107923584284,0.0077783539521446,1.1566754655691813,1.4028436018957355
2021-02-04,0.0257578020008959,-1.0,0.0,-0.0257578020008959,1.2795429594370353,0.01287890100044795,1.2129112071242203,-0.0257578020008959,1.0142940667078642,-0.0257578020008959,1.1268820479477561,1.4389777696315895
2021-02-05,-0.004585486571075,-1.0,0.0,0.004585486571075,1.2854102864946475,-0.0022927432855375,1.2101303130981331,0.004585486571075,1.0189450985298742,0.004585486571075,1.1320493504458062,1.4323793563928684
2021-02-08,0.0010968119333139,-1.0,0.0,-0.0010968119333139,1.2840004331532158,0.00054840596665695,1.2107939557822687,-0.0010968119333139,1.017827507386415,-0.0010968119333139,1.130807705209137,1.4339504071639926
2021-02-09,-0.0065736615294719,-1.0,0.0,0.0065736615294719,1.2924410174044603,-0.00328683076473595,1.2068142809586473,0.0065736615294719,1.0245183609153592,-0.0075736615294719,1.122243350394964,1.4245241025372481
2021-02-10,-0.0045584883464451,-1.0,0.0,0.0045584883464451,1.2983325947207662,-0.00227924417322255,1.2040636565406104,0.0045584883464451,1.0291886159243109,-0.0005,1.1216822287197665,1.418030426016602
2021-02-11,-0.0019203781667773,0.5,1.5,-0.0017101890833886501,1.296112200490667,-0.00096018908338865,1.202907527761895,-0.0005,1.0286740216163488,-0.0,1.1216822287197665,1.4153072713466537
2021-02-12,0.0017760674905646,-1.0,1.5,-0.0025260674905646,1.2928381335968835,0.0008880337452823,1.2039757502390018,-0.0022760674905646,1.0263326901173595,-0.0022760674905646,1.1191292042642333,1.4178209525804524
2021-02-16,-0.0161040112284849,-1.0,0.0,0.0161040112284849,1.313658013416941,-0.00805200561424245,1.1942813307386657,0.0161040112284849,1.0428607632831706,0.0161040112284849,1.13715167353583,1.3949883480401155
2021-02-17,-0.0176439672648096,-1.0,0.0,0.0176439672648096,1.3368361524028245,-0.0088219836324048,1.1837454003864025,0.0176439672648096,1.0612609644522932,-0.0005,1.136583097699062,1.3703752192925047
2021-02-18,-0.0086365025985937,-1.0,0.0,0.0086365025985937,1.3483817413069454,-0.00431825129929685,1.1786336902731473,0.0086365025985937,1.0704265475295716,0.0081365025985937,1.1458309090270082,1.3585399701500365
2021-02-19,0.0012335209313083,-1.0,0.0,-0.0012335209313083,1.3467184842056492,0.00061676046565415,1.1793606249367958,-0.0012335209313083,1.0691061539777658,-0.0005,1.1452579935724947,1.3602157576392355
2021-02-22,-0.0297990297990298,-1.0,0.0,0.0297990297990298,1.3868493884473976,-0.0148995148995149,1.1617887237336488,0.0297990297990298,1.1009644801184755,-0.0,1.1452579935724947,1.319682647744234
2021-02-23,-0.001111111111111,-1.0,0.0,0.001111111111111,1.388390332212339,-0.0005555555555555,1.1611432855537969,0.001111111111111,1.1021877739852737,0.000611111111111,1.1459578734574554,1.3182163336911852
2021-02-24,-0.0040521214047354,-1.0,0.0,0.0040521214047354,1.3940162583956242,-0.0020260607023677,1.1587907387731182,0.0040521214047354,1.106653972656277,0.0040521214047354,1.1506014338854174,1.3128747610693632
2021-02-25,-0.0347826086956521,0.5,1.5,-0.01814130434782605,1.3687269851862514,-0.01739130434782605,1.1386378563596726,-0.0005,1.106100645669949,-0.0005,1.1500261331684747,1.26720955198869
2021-02-26,0.0022315893875528,0.5,0.0,0.0011157946937764,1.3702542034935505,0.0011157946937764,1.1399083424379315,0.0,1.106100645669949,0.0,1.1500261331684747,1.2700374433767134
2021-03-01,0.0538512287646379,0.5,0.0,0.02692561438231895,1.4071491397825693,0.02692561438231895,1.1706010748976035,0.0,1.106100645669949,0.0,1.1500261331684747,1.3384305202796487
