window,sma_window,rsi_threshold,observations,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,positive_day_rate,exposure,active_days,active_day_hit_rate,total_turnover,estimated_cost
15,30,40,132,0.06191439024834944,0.12152055810144091,0.1317438252784361,0.631867883623648,0.629338283538995,0.05433742926319507,0.10606060606060606,0.19696969696969696,26,0.5384615384615384,38.0,0.019
15,30,45,132,0.06191439024834944,0.12152055810144091,0.1317438252784361,0.631867883623648,0.629338283538995,0.05433742926319507,0.10606060606060606,0.19696969696969696,26,0.5384615384615384,38.0,0.019
15,30,50,132,0.06191439024834944,0.12152055810144091,0.1317438252784361,0.631867883623648,0.629338283538995,0.05433742926319507,0.10606060606060606,0.19696969696969696,26,0.5384615384615384,38.0,0.019
15,30,55,132,0.01753846992956598,0.03374931613520138,0.10058289418804048,-0.01801956782219041,-0.01233187291427266,0.039234047050817566,0.05303030303030303,0.10606060606060606,14,0.5,20.0,0.01
15,30,60,132,0.014937628377959644,0.02871083083366721,0.09631116465668747,-0.07385841841385618,-0.04331944205534906,0.03861783807881469,0.045454545454545456,0.08333333333333333,11,0.5454545454545454,16.0,0.008
16,10,40,132,0.06295347214808089,0.12361653859000454,0.09902347695430166,0.8220382716852122,0.779846803395591,0.04678818126965367,0.08333333333333333,0.15151515151515152,20,0.55,30.0,0.015
16,10,45,132,0.08651463944603677,0.17164273119836504,0.09631006157751958,1.2772683883595808,1.1732888752326454,0.04678818126965367,0.08333333333333333,0.13636363636363635,18,0.6111111111111112,28.0,0.014
16,10,50,132,0.07771285428873353,0.15358951974201407,0.09547609611831916,1.1248571579562394,0.9676017285324235,0.04678818126965323,0.07575757575757576,0.12121212121212122,16,0.625,24.0,0.012
16,10,55,132,0.0737204608146218,0.14544479909733377,0.0928478275345037,1.0777092296877016,0.8443802550568591,0.03861783807881469,0.06818181818181818,0.10606060606060606,14,0.6428571428571429,20.0,0.01
16,10,60,132,0.055222055855551844,0.10806580083330153,0.08959500246994136,0.7431075430903029,0.5481887982123129,0.04141078021916045,0.06060606060606061,0.09848484848484848,13,0.6153846153846154,18.0,0.009
